Entry ID,Title,Phase 1,Phase 2,Phase 3,Affiliation,Section,Personnel,Geography,Keywords,Project Area Focus,Project Type,Project Status,Additional Keywords
883,Project 883 Title,True,False,False,INDEPENDENT,"ARTIFICIAL INTELLIGENCE, END","Disability perspective, Student leadership",USA,"EDUCATION, CARBON, BIOMIMICRY",Outer Space,"Augmented Reality, Virtual Reality, or other Experience, Essay",Preliminary Proposal,"xyjvw, axiolij, rcjkkh, dgkqhdnyf, hlrubfi, lcpd, hrwnotnn, xhrjuhl, yfmcogyop"
884,Project 884 Title,True,False,False,INDEPENDENT,"NATURAL INTELLIGENCE, COLLECTIVE, ARTIFICIAL","LGBTQ leadership, Student leadership, Disability perspective",USA,LABOR,Central America,Image or Drawing,"Complete, unpublished","schwmizkfx, khne, hlauuxcnpw, fwtzrvp"
885,Project 885 Title,True,False,False,INDEPENDENT,"INTRO, ARTIFICIAL INTELLIGENCE","Student leadership, Disability perspective, Female leadership",Japan,"COMMONS, PRACTICE, PLANET",Planetary,Panel or Event,"Complete, published or exhibited before","ohdjgpnb, wizl, iiisbikbrt, spzjvpilnh, umeaqo, qidpmkh, mfylh, ictstfumwu"
886,Project 886 Title,True,False,False,INDEPENDENT,"OUT, INTRO",Under 35 years old,South Africa,"TERRITORY, CONSTRUCTION, DIGITAL","North America, Oceania",Image or Drawing,Preliminary Proposal,"xnukojktjp, rxinqm, utqqyzqfue, ynupa, ihfwi, rvrwlovo, jnsygugni, wnsiqdsfyd, jsmkxhzt, yvvwxcj"
887,Project 887 Title,True,False,False,INDEPENDENT,"OUT, NATURAL INTELLIGENCE, END","Transnational (immigrant, refugee, multicultural) perspective",Australia,"JUSTICE, PRACTICE",South America,Other,In Progress,"bmbhwoyef, pohfawrfn, nuwyar, gsvoqz"
888,Project 888 Title,True,False,False,Harvard University,"NATURAL INTELLIGENCE, COLLECTIVE INTELLIGENCE",Female leadership,South Africa,EDUCATION,"Europe, Planetary",Essay,Preliminary Proposal,"xopssykltl, yxcmhnq, ukrscbwnzt, qvhyqgqvpm"
889,Project 889 Title,True,False,False,INDEPENDENT,"NATURAL INTELLIGENCE, NATURAL, COLLECTIVE","Transnational (immigrant, refugee, multicultural) perspective, Student leadership",Germany,BODY,"Oceans, Ice, and Atmosphere, Caribbean",Outdoor Installation,Preliminary Proposal,"bxgncace, jqprwld, umsemjka, ejbfguvnu, vwan, pqerhvws, zckykvkzqs, hmxjw"
890,Project 890 Title,True,False,False,Oxford University,"NATURAL, COLLECTIVE INTELLIGENCE, NATURAL INTELLIGENCE","Female leadership, Insights from the Global South",Germany,"WASTE, LOGISTICS, TECHNOLOGY","Sub-Saharan Africa, Outer Space","Outdoor Installation, Exhibition",In Progress,"xbmvep, rujdxlaonv, uahhfh, kmvcntcj, ytqrkya, aybwjnnmjj"
891,Project 891 Title,True,False,False,Stanford University,"OUT, COLLECTIVE INTELLIGENCE, COLLECTIVE","Insights from the Global South, Student leadership",China,TRADITION,"Oceans, Ice, and Atmosphere, Central America","Outdoor Installation, Exhibition",In Progress,"foul, wdwbmca, wqjvkqqtf, digdhpo, nkxiuuworz, dswr, qnvwdmf, fyxxdqfa, mkgpvjycqg"
892,Project 892 Title,True,False,False,Oxford University,"ARTIFICIAL INTELLIGENCE, COLLECTIVE","LGBTQ leadership, Female leadership, Transnational (immigrant, refugee, multicultural) perspective",South Africa,SOLIDARITY,Non-Spatial or Dislocated,Panel or Event,"Complete, published or exhibited before","kkrli, grydqtyejt, yzqs, wicqsqdmqp, ivhoi"
893,Project 893 Title,True,False,False,INDEPENDENT,OUT,"Student leadership, Insights from the Global South",China,"LOGISTICS, SCIENCE","Sub-Saharan Africa, Asia",Essay,"Complete, published or exhibited before","zanpbvliv, expv, vyuruyf, rzvfsbb, jnutarwob"
894,Project 894 Title,True,False,False,Harvard University,"ARTIFICIAL INTELLIGENCE, ARTIFICIAL, COLLECTIVE INTELLIGENCE",Insights from the Global South,Japan,"PUBLIC, WASTE",Non-Spatial or Dislocated,"Augmented Reality, Virtual Reality, or other Experience, Other",Preliminary Proposal,"usqvetjyn, vbhldvqkck, rtkvayqi, dqyzdvd, accacnaz"
895,Project 895 Title,True,False,False,MIT,"END, NATURAL INTELLIGENCE, COLLECTIVE INTELLIGENCE","Disability perspective, Transnational (immigrant, refugee, multicultural) perspective",Japan,"ENERGY, PLANET, URBAN","Oceans, Ice, and Atmosphere, Europe","Model or Maquette, Outdoor Installation",In Progress,"sngha, mozmp, ccqyfuzhl, ndhzqqxe, ezvaclpr, cbzs, nmmctnb, ofhiw, yidvfo, zwtqxwfk"
896,Project 896 Title,True,False,False,MIT,"COLLECTIVE INTELLIGENCE, COLLECTIVE, NATURAL INTELLIGENCE","Female leadership, Disability perspective, Under 35 years old",UK,"JUSTICE, PRACTICE",South America,Model or Maquette,"Complete, unpublished","bcvbhnau, nplxjrctvr, jufc, dpdy, dgpctahmmu"
897,Project 897 Title,True,False,False,Stanford University,INTRO,"Transnational (immigrant, refugee, multicultural) perspective",India,"LABOR, TRADITION, WASTE","Middle East and North Africa, Non-Spatial or Dislocated","Other, Video",Preliminary Proposal,"dydyeve, rbtc, wfqxsxjotm, roustrl"
898,Project 898 Title,True,False,False,INDEPENDENT,ARTIFICIAL INTELLIGENCE,Under 35 years old,Canada,LOGISTICS,Non-Spatial or Dislocated,"Augmented Reality, Virtual Reality, or other Experience, Video","Complete, unpublished","mtmhs, tkqptmimu, hqenow, sffwhj, ukxrsggiin"
899,Project 899 Title,True,False,False,INDEPENDENT,"ARTIFICIAL, END","Student leadership, Transnational (immigrant, refugee, multicultural) perspective",Australia,"ENERGY, KNOWLEDGE",Non-Spatial or Dislocated,Exhibition,Preliminary Proposal,"degqwka, wmcb, ckotwrktm, zzymd, fvgjiroas, xrnncuexxb, nlbsoero, rukcdpivb, coyfuhdkcg, lbfumlfxhl"
900,Project 900 Title,True,False,False,Harvard University,"ARTIFICIAL, NATURAL, COLLECTIVE INTELLIGENCE","Disability perspective, Insights from the Global South, Student leadership",UK,COMMONS,"Planetary, Oceania","Augmented Reality, Virtual Reality, or other Experience, Model or Maquette","Complete, published or exhibited before","rlpkozw, vvpsr, ctczdpxctk, oigdwuatmc, dfvqd, jchibpm, ukcpggjfe"
901,Project 901 Title,True,False,False,Stanford University,"END, ARTIFICIAL INTELLIGENCE, OUT","Disability perspective, LGBTQ leadership",Germany,"CARBON, CARE, SCIENCE",North America,Essay,Preliminary Proposal,"ovyvcr, ygkdjtl, npkefmv, vupwkly, axice, tclpqibua, ltqpuvcvkw"
902,Project 902 Title,True,False,False,Harvard University,COLLECTIVE INTELLIGENCE,"Transnational (immigrant, refugee, multicultural) perspective, Female leadership",Canada,"MATERIALS, SOLIDARITY, TRADITION","Central America, Sub-Saharan Africa",Video,"Complete, published or exhibited before","enyhv, javpvgo, hzrfyes, vpbzgpvea, lhyvxl, gkcyfmi, igxypodrgz, owtjirptfo, qqempmojog, tsfpou"
903,Project 903 Title,True,False,False,MIT,"END, NATURAL","Female leadership, LGBTQ leadership, Disability perspective",Japan,BODY,"South America, Central America","Outdoor Installation, Model or Maquette","Complete, published or exhibited before","ttuagqbei, aizciqsr, dohmmbla, spir, khxxqrpabx, flvisnz, iekcmicp, nclkokl"
904,Project 904 Title,True,False,False,MIT,"ARTIFICIAL INTELLIGENCE, COLLECTIVE",Student leadership,Canada,ENERGY,North America,"Outdoor Installation, Image or Drawing","Complete, unpublished","efoemrnjnu, rgmzyzrwdv, yuplb, rbzakuzg, hkxti, oruur, lcxbwaozsa, fdpiqhbc, kaplyvr"
905,Project 905 Title,True,False,False,INDEPENDENT,"COLLECTIVE, END, COLLECTIVE INTELLIGENCE","Female leadership, Transnational (immigrant, refugee, multicultural) perspective, Disability perspective",Japan,"TRADITION, CARE","Non-Spatial or Dislocated, Sub-Saharan Africa","Outdoor Installation, Image or Drawing",In Progress,"bfweptall, gkvrseskc, sxnexetlch, rmeepfieo, rosoxqi, osxp, xrdxy, lozelohgw, jrirwq, rsxogpduhd"
906,Project 906 Title,True,False,False,Stanford University,END,LGBTQ leadership,China,"JUSTICE, URBAN","Central America, Oceania",Outdoor Installation,Preliminary Proposal,"raeybjxwnt, fnxeuccnuq, yypdsobtt, irlye, wbhhakec, iclyphmyz, kkfca, ezfnxoiuh"
907,Project 907 Title,True,False,False,MIT,OUT,"Female leadership, Insights from the Global South, Transnational (immigrant, refugee, multicultural) perspective",UK,"METHOD, DIGITAL","South America, Oceans, Ice, and Atmosphere",Exhibition,"Complete, unpublished","czvyltq, tfzyxfg, uiaax"
908,Project 908 Title,True,False,False,Stanford University,"COLLECTIVE, OUT, ARTIFICIAL","LGBTQ leadership, Insights from the Global South",Canada,"TERRITORY, URBAN","Planetary, South America","Exhibition, Video","Complete, unpublished","jqifndfk, ezwa, lxanr, vwqgo, yjkw, ewhg, fmtllni, mwtyn"
909,Project 909 Title,True,False,False,Oxford University,"END, NATURAL","Transnational (immigrant, refugee, multicultural) perspective",USA,"SOLIDARITY, MATERIALS",Planetary,Outdoor Installation,Preliminary Proposal,"zsfmroqog, xlkds, fwyncig, jzjj, pxvf"
910,Project 910 Title,True,False,False,Harvard University,"COLLECTIVE INTELLIGENCE, INTRO, NATURAL INTELLIGENCE","LGBTQ leadership, Insights from the Global South, Student leadership",UK,"PRACTICE, TERRITORY, TRADITION",Caribbean,Video,Preliminary Proposal,"taxo, pbsgt, slprf"
911,Project 911 Title,True,False,False,Harvard University,"INTRO, ARTIFICIAL INTELLIGENCE",LGBTQ leadership,Brazil,"COMMONS, TRADITION, DIGITAL","Europe, Middle East and North Africa",Video,"Complete, published or exhibited before","zuczdyp, xrop, oidyiqywot, orzl"
912,Project 912 Title,True,False,False,Oxford University,OUT,Disability perspective,UK,CARBON,"Oceans, Ice, and Atmosphere, Non-Spatial or Dislocated",Panel or Event,In Progress,"zvpjjuhqbw, owvhkjr, bedpkvavc, coqh, pbijyizsjz, vcohlqbo, zfyurqfyjw"
913,Project 913 Title,True,False,False,Oxford University,"ARTIFICIAL INTELLIGENCE, INTRO, ARTIFICIAL","Disability perspective, LGBTQ leadership",Brazil,PRACTICE,"North America, Sub-Saharan Africa",Other,"Complete, unpublished","uhbdliuks, wmdqhclp, laxswrnusd, zoymjwtkp, gblhuaonz, yrooe, sauhnnex, lepfwsc"
914,Project 914 Title,True,False,False,Oxford University,"ARTIFICIAL, ARTIFICIAL INTELLIGENCE","Transnational (immigrant, refugee, multicultural) perspective",Canada,"EDUCATION, PUBLIC, WASTE","Central America, Middle East and North Africa",Other,In Progress,"rzadl, qxjfjhgwbq, jspkptbz, hazarslpe, wkejne, qffdqstroj, dnrmenovvp, hoaw, qnmakdikr, rllnqu"
915,Project 915 Title,True,False,False,Stanford University,"ARTIFICIAL, INTRO",Student leadership,Australia,"METHOD, PRACTICE","North America, Oceans, Ice, and Atmosphere","Essay, Exhibition","Complete, published or exhibited before","ryazubpdd, syjxiu, hnnevd, llnz, bigswk, lazrfk"
916,Project 916 Title,True,False,False,Harvard University,END,Insights from the Global South,Canada,"BIOMIMICRY, SOLIDARITY","Oceans, Ice, and Atmosphere, South America",Video,In Progress,"cuxsmqdgjm, fkgn, vqhjdtimx, ysuyfw, bpafpgi"
917,Project 917 Title,True,False,False,Stanford University,"NATURAL, OUT",Insights from the Global South,Japan,WASTE,North America,"Essay, Exhibition","Complete, unpublished","nibvjhgf, wxfbnunot, yhkqmx, tvvjnyd, fvpocfuf, gtirhcza, ahwovrxids, fcbwleo, fpdy"
918,Project 918 Title,True,False,False,Oxford University,"COLLECTIVE, NATURAL INTELLIGENCE","Student leadership, Transnational (immigrant, refugee, multicultural) perspective, LGBTQ leadership",Japan,URBAN,Middle East and North Africa,"Video, Model or Maquette",In Progress,"rhgw, sdppy, islnaxn, ixxrhzfnxz, zmcxfsczq, dwmocpkyh, jrdzx, ctznw, aizljlbsl"
919,Project 919 Title,True,False,False,INDEPENDENT,"NATURAL INTELLIGENCE, COLLECTIVE INTELLIGENCE",Disability perspective,Germany,"CARBON, LABOR",Asia,"Other, Video",In Progress,"kgck, ugzm, fybkxk"
920,Project 920 Title,True,False,False,Harvard University,"ARTIFICIAL INTELLIGENCE, COLLECTIVE",Female leadership,Germany,"BIOMIMICRY, CONSTRUCTION, ENERGY",South America,"Exhibition, Augmented Reality, Virtual Reality, or other Experience","Complete, unpublished","gqbjw, lwzlm, yduaap, ivzcgtlmh, yhoxgronke, cypjbukmmu, bhmsfd"
921,Project 921 Title,True,False,False,Stanford University,OUT,Under 35 years old,Germany,JUSTICE,Central America,"Exhibition, Panel or Event",Preliminary Proposal,"dljfqb, vsho, xctuzaff, wfgelyu, yhoa"
922,Project 922 Title,True,False,False,Oxford University,"NATURAL INTELLIGENCE, COLLECTIVE INTELLIGENCE","Insights from the Global South, Under 35 years old",China,WASTE,Planetary,Essay,Preliminary Proposal,"ywuo, jnznyl, zvwczvlnj, cwhonielu, rejitffp, lqbktoowf, eyilnodgn"
923,Project 923 Title,True,False,False,Stanford University,NATURAL,Disability perspective,USA,JUSTICE,"Caribbean, Asia","Exhibition, Image or Drawing",Preliminary Proposal,"fofj, gxwhjik, opjssjbmh, qekwuh"
924,Project 924 Title,True,False,False,Stanford University,"NATURAL INTELLIGENCE, INTRO","Insights from the Global South, LGBTQ leadership",USA,SOLIDARITY,"Oceans, Ice, and Atmosphere",Panel or Event,In Progress,"vpuxfpotq, dczrltxudv, ijquateb, mvetnvwh, ohnajv"
925,Project 925 Title,True,False,False,Stanford University,ARTIFICIAL,"Under 35 years old, Insights from the Global South, LGBTQ leadership",South Africa,PRACTICE,"Non-Spatial or Dislocated, Middle East and North Africa",Other,"Complete, unpublished","xxjxvbycy, xizsusvyqt, sluxbkrc, ndcx, zgihxrlle, ujysibejt, snsxngddzw, suwd, sosjarwr, dpzegzagbc"
926,Project 926 Title,True,False,False,MIT,"END, COLLECTIVE","LGBTQ leadership, Insights from the Global South, Transnational (immigrant, refugee, multicultural) perspective",Brazil,"KNOWLEDGE, MATERIALS",Oceania,Video,"Complete, published or exhibited before","lasiigqnu, gnhyj, sllpdlvc, nnkhmqfvxk, gragnd, pjgghyqbs, wcthv, zqyqnu, rvpsodtxwx"
927,Project 927 Title,True,False,False,INDEPENDENT,"COLLECTIVE INTELLIGENCE, ARTIFICIAL INTELLIGENCE","Student leadership, Female leadership, LGBTQ leadership",Canada,SCIENCE,Planetary,Exhibition,"Complete, published or exhibited before","yggbfpxvd, jlbzix, waricgi, xquyvs, atigadijp, pzzysjprm"
928,Project 928 Title,True,False,False,MIT,ARTIFICIAL INTELLIGENCE,"LGBTQ leadership, Transnational (immigrant, refugee, multicultural) perspective, Under 35 years old",Brazil,"BODY, LOGISTICS",Asia,Image or Drawing,In Progress,"wwqamfwh, midhs, smox"
929,Project 929 Title,True,False,False,Harvard University,ARTIFICIAL INTELLIGENCE,"Transnational (immigrant, refugee, multicultural) perspective, Insights from the Global South, Under 35 years old",South Africa,"TECHNOLOGY, CARE",Caribbean,Video,"Complete, unpublished","wnlafuopve, obnwsbcenp, mgdhv, spiexb, xcfuotzg"
930,Project 930 Title,True,False,False,INDEPENDENT,"NATURAL INTELLIGENCE, COLLECTIVE","Disability perspective, LGBTQ leadership, Under 35 years old",USA,"TRADITION, CARBON, EDUCATION","Oceans, Ice, and Atmosphere",Essay,"Complete, unpublished","uceunokfj, sahjjoawor, iyjxsdymh"
931,Project 931 Title,True,False,False,Stanford University,"INTRO, ARTIFICIAL, ARTIFICIAL INTELLIGENCE","Transnational (immigrant, refugee, multicultural) perspective",China,"TECHNOLOGY, PLANET, TRADITION","Oceania, Non-Spatial or Dislocated",Essay,"Complete, published or exhibited before","whwr, fctayqjxn, ussmjbbczy, ddarhvxucj, wxlzilcq, eutp"
932,Project 932 Title,True,False,False,MIT,ARTIFICIAL,Disability perspective,Australia,"PRACTICE, COMMONS","Non-Spatial or Dislocated, Middle East and North Africa","Augmented Reality, Virtual Reality, or other Experience, Exhibition",Preliminary Proposal,"niulzfpypu, qvvbdhnf, yoaw, cmfpo, jxmbrbuk, cyhqvepxxk, mmjxw, rpldb"
933,Project 933 Title,True,False,False,INDEPENDENT,"ARTIFICIAL INTELLIGENCE, END, NATURAL INTELLIGENCE","Under 35 years old, LGBTQ leadership, Transnational (immigrant, refugee, multicultural) perspective",Germany,PLANET,Central America,Model or Maquette,"Complete, unpublished","yjwcvwlj, rjgbypiown, isvom, bdine, aplf, kjxisicjay, gxogyenzws, atzl, tyucvty"
934,Project 934 Title,True,False,False,MIT,"OUT, ARTIFICIAL, COLLECTIVE","Female leadership, Insights from the Global South",Japan,LOGISTICS,North America,Image or Drawing,Preliminary Proposal,"fkirswby, mfhrv, xgggknfu, gfjgsg, vyeposuao, ywuodmyql, tltxuhpevy, nusdtwyoru"
935,Project 935 Title,True,False,False,INDEPENDENT,ARTIFICIAL,"Transnational (immigrant, refugee, multicultural) perspective",China,"LABOR, SCIENCE, LOGISTICS",Outer Space,Model or Maquette,Preliminary Proposal,"jkvmehdwd, mrkugofazy, czjlrwc, elfmritf"
936,Project 936 Title,True,False,False,Stanford University,"END, COLLECTIVE",Disability perspective,USA,"LOGISTICS, JUSTICE, ECOLOGY",North America,"Augmented Reality, Virtual Reality, or other Experience","Complete, unpublished","aabkgwxuy, kzfsuzad, pggpp, knwtcjf, bxqtcvfo, pihcikiyux, louttjtc, ffsi, zibcqmvtba, okxjx"
937,Project 937 Title,True,False,False,INDEPENDENT,"COLLECTIVE, NATURAL, COLLECTIVE INTELLIGENCE","Under 35 years old, LGBTQ leadership",China,"WASTE, ECOLOGY",Outer Space,Other,Preliminary Proposal,"dwgjv, gfksiqtmsw, fkeiy"
938,Project 938 Title,True,False,False,MIT,COLLECTIVE,"Disability perspective, Transnational (immigrant, refugee, multicultural) perspective",South Africa,"EDUCATION, MATERIALS, LOGISTICS",Non-Spatial or Dislocated,Image or Drawing,"Complete, published or exhibited before","bjpqz, kczlz, knjuoqj, wvicvhgjgz, qawbqdeolw"
939,Project 939 Title,True,False,False,Harvard University,"NATURAL, COLLECTIVE",Insights from the Global South,India,"URBAN, METHOD, TRADITION","Europe, Asia",Essay,"Complete, published or exhibited before","wpdga, weewi, dlwxclyyyn, twfufh, nodqakzjec, miebfqeebz, hryfqaaxtw, bcdrcyoz, vlii, fxvkf"
940,Project 940 Title,True,False,False,Stanford University,ARTIFICIAL,Insights from the Global South,South Africa,"ECOLOGY, WASTE",Outer Space,"Exhibition, Image or Drawing",Preliminary Proposal,"tslbac, kqbecugvri, hlopiuok, syle"
941,Project 941 Title,True,False,False,INDEPENDENT,ARTIFICIAL INTELLIGENCE,"Transnational (immigrant, refugee, multicultural) perspective, LGBTQ leadership, Student leadership",UK,"BIOMIMICRY, PRACTICE",Outer Space,"Exhibition, Essay",In Progress,"nvtanefe, swyjjvbdf, klfycjf"
942,Project 942 Title,True,False,False,Harvard University,"ARTIFICIAL, ARTIFICIAL INTELLIGENCE","Transnational (immigrant, refugee, multicultural) perspective, Insights from the Global South, Student leadership",Germany,"PLANET, ENERGY","Asia, Oceania",Image or Drawing,In Progress,"ivoezuhzh, fejes, tehbbrv, svctvppdt, htefpvjxd, jxpqoqk, mdsf"
943,Project 943 Title,True,False,False,INDEPENDENT,"END, COLLECTIVE, NATURAL INTELLIGENCE",Under 35 years old,India,BIOMIMICRY,South America,"Image or Drawing, Essay","Complete, published or exhibited before","dlkcl, elucrxtp, fwcpwznqe, rdbcic, hogzlmu, oizvb, prfjxcbks, nuxmc, sincwa, ygjcfbw"
944,Project 944 Title,True,False,False,INDEPENDENT,"OUT, NATURAL INTELLIGENCE",LGBTQ leadership,Germany,"SCIENCE, WASTE",Planetary,"Video, Other","Complete, published or exhibited before","pmkseskcsa, ojpv, talttvyj, sfppajotn, gnwlvdenh, arpm, fmlzezy"
945,Project 945 Title,True,False,False,INDEPENDENT,ARTIFICIAL INTELLIGENCE,"Female leadership, Under 35 years old",South Africa,BODY,"Oceans, Ice, and Atmosphere, Europe",Model or Maquette,"Complete, unpublished","ptbxsjm, tczzmxyjy, nmwiuwgs, xucc, jcorv"
946,Project 946 Title,True,False,False,Oxford University,OUT,"Insights from the Global South, Under 35 years old, Transnational (immigrant, refugee, multicultural) perspective",Australia,"BODY, SOLIDARITY",North America,"Panel or Event, Essay",Preliminary Proposal,"bjrzc, ogelkklpj, ahiocf, hmmk, zilwcdi"
947,Project 947 Title,True,False,False,Oxford University,"NATURAL INTELLIGENCE, COLLECTIVE INTELLIGENCE, INTRO",Female leadership,Germany,"PRACTICE, CARE","Oceans, Ice, and Atmosphere, Planetary",Model or Maquette,"Complete, published or exhibited before","zogrc, iqekm, gxqqbvhzmd, gspynckbma, ojkxnq, iheswrtt, dvpsobzrd, ryurac, fmolnbrwrb, pbehcmlx"
948,Project 948 Title,True,False,False,MIT,"COLLECTIVE, COLLECTIVE INTELLIGENCE","Under 35 years old, Disability perspective",Canada,PLANET,"Non-Spatial or Dislocated, Middle East and North Africa",Essay,In Progress,"qqwvgf, xdzw, bsduuudt, hgjftccml, nzcfn, qmvugtwf, ziwvtic, kvan, bssvgcd"
949,Project 949 Title,True,False,False,Stanford University,INTRO,"Transnational (immigrant, refugee, multicultural) perspective, LGBTQ leadership, Under 35 years old",Brazil,"SOLIDARITY, COMMONS, PUBLIC","South America, Oceans, Ice, and Atmosphere",Image or Drawing,In Progress,"bwystgdks, syhu, gtcxzhbxcp, vbsdsqiplw, mjflz"
950,Project 950 Title,True,False,False,Harvard University,"COLLECTIVE, ARTIFICIAL, END","Under 35 years old, Transnational (immigrant, refugee, multicultural) perspective",UK,"BIOMIMICRY, ENERGY",South America,"Exhibition, Outdoor Installation","Complete, published or exhibited before","bbctagcfq, lxrnnlda, aoyyz, avuzn, akztzc, vjcaloacyi, hpijipado, gixxvpgpsi, ykhilnf, zeftwcgmat"
951,Project 951 Title,True,False,False,INDEPENDENT,"COLLECTIVE INTELLIGENCE, END, INTRO","Under 35 years old, Female leadership",USA,"BIOMIMICRY, ECOLOGY, BODY","Planetary, Oceania","Outdoor Installation, Model or Maquette","Complete, unpublished","sgkwqbivif, qgwutqhv, jpcmspegsm, xvpw, arsvzxllc, rnmdyiz, ffsvmp"
952,Project 952 Title,True,False,False,Oxford University,"COLLECTIVE INTELLIGENCE, NATURAL, END","Insights from the Global South, LGBTQ leadership, Under 35 years old",Brazil,"PUBLIC, CARE, COMMONS","North America, Oceania","Essay, Video",In Progress,"aqagtdsu, ymovy, lgbrjxd, dgwslbiuaf, cmsyqmcghr"
953,Project 953 Title,True,False,False,Oxford University,COLLECTIVE INTELLIGENCE,Disability perspective,Australia,ENERGY,Middle East and North Africa,"Model or Maquette, Essay",In Progress,"suwgeri, iymwviz, yfbflmq"
954,Project 954 Title,True,False,False,Oxford University,END,Student leadership,Canada,CONSTRUCTION,South America,"Panel or Event, Other","Complete, published or exhibited before","ridmtbmhzn, oenxtgrz, facfju, uinnm, zglvm, yzeryvj, swelsdfcfm, jffek, nvrq"
955,Project 955 Title,True,False,False,Stanford University,"OUT, ARTIFICIAL","Disability perspective, Transnational (immigrant, refugee, multicultural) perspective",South Africa,URBAN,North America,Model or Maquette,"Complete, unpublished","eajgjce, ohretcsmv, gdnwjxpnbp, jycvclaocv, xwsyor, ljdt, npyi, mntvxgj, jovhavwar"
956,Project 956 Title,True,False,False,INDEPENDENT,"NATURAL INTELLIGENCE, NATURAL","Female leadership, LGBTQ leadership, Transnational (immigrant, refugee, multicultural) perspective",Australia,CARE,"North America, South America",Outdoor Installation,"Complete, unpublished","voyoo, saauba, dokj, vdol, zfwyerqiye, atpnlyzf, wsvh"
957,Project 957 Title,True,False,False,Stanford University,"NATURAL, INTRO, COLLECTIVE","Female leadership, Disability perspective",South Africa,"LOGISTICS, MATERIALS, PLANET","Europe, Middle East and North Africa",Other,Preliminary Proposal,"hiyid, bcxnae, typqjxfd, jyxjb, cyjz, hbygncdxa, xqtjdcrikw, caixkvc"
958,Project 958 Title,True,False,False,MIT,"INTRO, NATURAL INTELLIGENCE, END","Female leadership, Transnational (immigrant, refugee, multicultural) perspective",Australia,BIOMIMICRY,Sub-Saharan Africa,Essay,"Complete, published or exhibited before","kvrhngxav, rrkvtub, bflyr, nrrfnq, rchvxytd, usuzz, kizny, nuhyha"
959,Project 959 Title,True,False,False,Stanford University,"COLLECTIVE, INTRO, COLLECTIVE INTELLIGENCE","Transnational (immigrant, refugee, multicultural) perspective, LGBTQ leadership",South Africa,"JUSTICE, TECHNOLOGY","Oceania, Asia","Panel or Event, Augmented Reality, Virtual Reality, or other Experience",Preliminary Proposal,"gdirdch, tyaaip, hyxihtknh, gkwx"
960,Project 960 Title,True,False,False,Stanford University,ARTIFICIAL INTELLIGENCE,"Female leadership, LGBTQ leadership",India,"BIOMIMICRY, LABOR",Asia,Outdoor Installation,Preliminary Proposal,"woxwusc, vwvqaker, vhyrevx, kxrggzkq, nccewbv"
961,Project 961 Title,True,False,False,Stanford University,"NATURAL INTELLIGENCE, END, INTRO","Transnational (immigrant, refugee, multicultural) perspective, LGBTQ leadership, Insights from the Global South",China,"CONSTRUCTION, PLANET, JUSTICE","Middle East and North Africa, Central America","Augmented Reality, Virtual Reality, or other Experience",In Progress,"vgwe, fusxfnz, qzaqla, yydo, xcgsefnb, tejlgei, fthmztyxu, arspiddssz, rbjatbdpkf, zslz"
962,Project 962 Title,True,False,False,INDEPENDENT,END,"Transnational (immigrant, refugee, multicultural) perspective",UK,"COMMONS, SCIENCE","Middle East and North Africa, Oceans, Ice, and Atmosphere","Exhibition, Model or Maquette",Preliminary Proposal,"dyylcxzwg, xcci, dmucw, mozgh, grfhzwcft, mhbuvy, pckly, fphzzargl, opvfkobzm"
963,Project 963 Title,True,False,False,INDEPENDENT,"COLLECTIVE INTELLIGENCE, COLLECTIVE, END","Female leadership, Student leadership, Insights from the Global South",India,EDUCATION,"Sub-Saharan Africa, Caribbean",Outdoor Installation,"Complete, published or exhibited before","qhjj, mcxtuzr, jctbpih, krxwzzdwe"
964,Project 964 Title,True,False,False,MIT,ARTIFICIAL INTELLIGENCE,"Under 35 years old, Insights from the Global South",India,"TECHNOLOGY, DIGITAL, KNOWLEDGE","Outer Space, Middle East and North Africa","Model or Maquette, Exhibition",In Progress,"bcyhlvloq, ikugssbj, pbhzpfyxvl, htpsvcja, imgple, jpolt, rkukyzjv, xgcw, ttqwtw, ereofbc"
965,Project 965 Title,True,False,False,INDEPENDENT,"ARTIFICIAL INTELLIGENCE, COLLECTIVE, END","Female leadership, Under 35 years old, Insights from the Global South",Australia,"PRACTICE, SCIENCE, LOGISTICS",Caribbean,"Outdoor Installation, Model or Maquette",Preliminary Proposal,"pfkatziz, neydxt, xziw, imvnrpubjn, jlqz, dmttmd, rnurw"
966,Project 966 Title,True,False,False,Harvard University,"INTRO, ARTIFICIAL, COLLECTIVE","Under 35 years old, Disability perspective",Brazil,"COMMONS, MATERIALS","Europe, Middle East and North Africa","Augmented Reality, Virtual Reality, or other Experience","Complete, published or exhibited before","gxmu, nkbuz, yccjidbqtg, iqohwfd, hluk"
967,Project 967 Title,True,False,False,INDEPENDENT,"OUT, COLLECTIVE",Insights from the Global South,UK,BODY,Non-Spatial or Dislocated,"Model or Maquette, Panel or Event",Preliminary Proposal,"tjahulxw, ajgpcsg, htaq, jmatbfwf, edlf, vvfkyvgvk, hpyp, iuuhpu, cqmccfq, grhvvny"
968,Project 968 Title,True,False,False,Stanford University,"COLLECTIVE INTELLIGENCE, NATURAL INTELLIGENCE","Student leadership, Transnational (immigrant, refugee, multicultural) perspective",Japan,"CARE, TECHNOLOGY",Outer Space,Exhibition,"Complete, unpublished","atmsqm, vawubjq, sihkiqogoq, gcni, uukctr, cjzwkatxai, hpssvxl"
